1,Yet To Start
2,WIP
3,Completed
4,CGST 0
5,SGST 0
6,CGST 2.5
7,SGST 2.5
8,CGST 9
9,SGST 9
10,IGST 0
11,IGST 5
12,IGST 18
13,Fortnightly
14,Monthly
15,BiMonthly
16,Quarterly
17,Half Yearly
18,Yearly
19,Banking
20,Consultation
21,Hospitality
22,Insurance
23,IT
24,Manufacturing
25,Association
26,Bank
27,LLP
28,Private Limited
29,Trust
30,Professional Support Services
31,Certification Services
32,Accounting
33,FSSAI Registration
34,Income Tax
35,Tax Audit
36,IT Form Others
37,GST Returns
38,GST Annual
39,GST Registration
40,ROC Forms
41,TDS Returns
42,TDS Correction
43,IT Assessment
44,PAN Registration
45,Misc. Work
46,VAT/CST Assmt.
47,Other Assmt.
48,GST Audit
49,MSME Reg.
50,IEC Reg.
51,PT Registration
52,PF/ESI Returns
53,PT Returns
54,Company Incorporation
55,Partnership Reg.
56,DSC
57,Certificate AT Certificate
58,Book keeping
59,Other Audit
60,GST Other forms
61,PT Others
62,Service Tax
63,Others
64,Service
65,Statutory Audit
66,Voucher details
67,Transaction Details
68,Confirmation of Balances
69,LLP Incorporation
70,Company Annual Compliance
71,Confirmation of Balances
72,"LFAR, Long Form Audit Report"
73,Accounting Standards (AS): Disclosures Checklist Revised October 2022
74,GST 3B Computation
75,Peer Review Statutory and Tax Audit
76,"CARO 2020, An Illustrative Checklist On the Companies (Auditor`s Report) Order, 2020"
77,Audit Program - Balance Sheet Items
78,Audit Program - Statement of Profit and Loss
79,Travel Expenses
80,CA
81,CPA
82,PCAOB
83,Professional Fee
85,Agreement Copies
86,Beginning of the Audit
89,10K Word Document
90,10Q Word Document
91,Accounts Payable Invoices
92,Accounts Payable Schedule
93,Accounts Receivable Invoices/Packing slips/Cash Receipt details
84,Filing Charges
87,Nearing completion of the Audit
88,Nearing completion of the Audit
94,Accounts Receivable Schedule
95,Bank Reconciliation Report
96,Bank Statements
98,Communication Others
99,Confirmation of Debt
100,Confirmation of Loan
101,Financial Statement - Balance Sheet
102,Financial Statement - Cash Flow
103,Financial Statement of Equity
104,Financial Statement of Income
105,Financial Statements - Consolidated
110,Journal Entries
111,Materiality
112,Others
113,Property
114,Related party transactions
115,Revenue
116,"1. Significant issue(s) involving selection, application, and consistency of accounting principles (including disclosures)"
117,10. Significant findings or issues identified during the reviews of interim financial information: [ ]
118,"11. Disagreements among members of the engagement team or with others consulted about final conclusions reached on significant accounting or auditing matters, including the basis for the final resolution"
119,2. Results of procedures indicating a need for significant modification of planned procedures: material misstatements (including omissions in the financial statements): significant deficiencies or material weaknesses in internal control
120,"3. Accumulated misstatements and evaluation of uncorrected misstatements, including relevant quantitative and qualitative factors"
121,4. Circumstances that caused significant difficulty in applying auditing procedures
123,6. Risks of material misstatement determined to be significant risks and the results of auditing procedures in response to such risks
124,"7. Other significant findings or issues, including any significant unusual transactions"
97,Board Resolutions
106,Form 10
107,General Ledger
108,Inventory
109,Investment
122,"5. Significant changes in the auditor’s risk assessments, including risks that were not previously identified, and modifications or additions to audit procedures due to such changes"
125,8. Other matters that could result in modification of the audit report
126,9. Other issues resulting in consultations
127,Audit Procedure
128,Financial Analysis
129,Going Concern Checklist
130,Planning Materiality Worksheet
131,Partnership firms
132,Proprietor
133,Partnership Firms
134,Inquiry
135,Observation
136,Examination
137,Inspection
138,Substantive Testing
139,123
140,test
141,test
142,test12
143,test01
144,Test02
145,T2Est
146,Test
147,Test03
148,Statutory Audit ICAI Template
149,payment
150,Convenience Charge
151,EngagementFees
152,Rent Fee
153,Rent Fee123
154,Random
155,Manufacture
156,Package
157,Rent Fee123
